Task,Completed,RealWorldTimeCompleted,InGameTimeCompleted
Burger,True,2024-01-24T16:50:26.8622198+01:00,12:00:00
Park,True,2024-01-24T16:45:34.9544039+01:00,08:30:00
Cake,True,2024-01-24T16:45:07.4981399+01:00,07:30:00
Milk and Cereals,True,2024-01-24T16:48:28.1472219+01:00,10:30:00
Inhaler1,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler2,True,2024-01-24T16:50:51.9052676+01:00,13:30:00
Trash,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry,True,2024-01-24T16:49:53.0208237+01:00,12:30:00
Parcel,True,2024-01-24T16:48:07.4493898+01:00,10:00:00
Salmon,True,2024-01-24T16:46:50.5170625+01:00,09:30:00
Teeth,True,2024-01-24T16:45:13.3889746+01:00,08:00:00
Water Plants1,True,2024-01-24T16:49:12.9362519+01:00,12:00:00
Water Plants2,False,0001-01-01T00:00:00.0000000,00:00:00
Sweep Floor,True,2024-01-24T16:51:04.2539839+01:00,14:00:00
Set Table,True,2024-01-24T16:51:28.5212773+01:00,14:30:00
Buy Tickets,False,0001-01-01T00:00:00.0000000,00:00:00
Lightbulb,False,0001-01-01T00:00:00.0000000,00:00:00
Laundry Pickup,False,0001-01-01T00:00:00.0000000,00:00:00
Inhaler,True,2024-01-24T16:46:27.2052516+01:00,09:30:00

Session End: 2024-01-24T16:52:01.0333328+01:00
